epoch,loss,lr,avg_verification_accuracy,seconds,AgeDB30_accuracy,AgeDB30_threshold,AgeDB30_far,AgeDB30_frr,AgeDB30_eer,AgeDB30_auc,AgeDB30_tar_at_far_1e-2,AgeDB30_tar_at_far_1e-3,AgeDB30_num_pairs,CALFW_accuracy,CALFW_threshold,CALFW_far,CALFW_frr,CALFW_eer,CALFW_auc,CALFW_tar_at_far_1e-2,CALFW_tar_at_far_1e-3,CALFW_num_pairs,CPLFW_accuracy,CPLFW_threshold,CPLFW_far,CPLFW_frr,CPLFW_eer,CPLFW_auc,CPLFW_tar_at_far_1e-2,CPLFW_tar_at_far_1e-3,CPLFW_num_pairs,LFW_accuracy,LFW_threshold,LFW_far,LFW_frr,LFW_eer,LFW_auc,LFW_tar_at_far_1e-2,LFW_tar_at_far_1e-3,LFW_num_pairs
1,37.54979580793402,0.00025,0.7362500000000001,1505.6685717105865,0.615,0.22870329022407532,0.400396432111001,0.40060544904137235,0.4005009405761867,0.6451112540115749,0.026236125126135216,0.0030272452068617556,2000,0.7605,0.3143019378185272,0.2527254707631318,0.2522704339051463,0.2524979523341391,0.824066749406702,0.28254288597376387,0.13218970736629668,2000,0.6445,0.23411788046360016,0.3557978196233895,0.3562058526740666,0.35600183614872805,0.6692152064317209,0.014127144298688193,0.0030272452068617556,2000,0.925,0.34487760066986084,0.07829534192269574,0.07870837537840565,0.0785018586505507,0.9761660694516254,0.7658930373360242,0.6326942482341069,2000
2,28.22873640862711,0.00025,0.8136249999999999,875.6142563819885,0.7625,0.2072772979736328,0.23785926660059464,0.23814328960645811,0.2380012781035264,0.846414559579326,0.17860746720484358,0.0615539858728557,2000,0.836,0.32629823684692383,0.17145688800792863,0.1715438950554995,0.17150039153171406,0.9037652049816034,0.4450050454086781,0.21796165489404642,2000,0.695,0.26914215087890625,0.3330029732408325,0.3329969727547931,0.3329999729978128,0.7257687872717691,0.017154389505549948,0.004036326942482341,2000,0.961,0.344603955745697,0.03964321110009911,0.039354187689202826,0.03949869939465096,0.9906872456668989,0.900100908173562,0.8244197780020182,2000
3,21.77089815574633,0.0002494622908055538,0.840125,885.2966802120209,0.7945,0.24764038622379303,0.20713577799801783,0.20686175580222,0.20699876690011892,0.8846176540299765,0.2976791120080727,0.11503531786074672,2000,0.847,0.3140440583229065,0.1565906838453915,0.15640766902119072,0.1564991764332911,0.9198805103213361,0.450050454086781,0.2875882946518668,2000,0.7485,0.2643110752105713,0.2804757185332012,0.2805247225025227,0.28050022051786194,0.783004423358292,0.020181634712411706,0.0020181634712411706,2000,0.9705,0.3453170657157898,0.02973240832507433,0.029263370332996974,0.029497889329035652,0.9946465663718761,0.9434914228052472,0.8789101917255298,2000
4,19.77860534414958,0.0002478540327999464,0.854875,948.8985605239868,0.8185,0.257529079914093,0.18334985133795836,0.18365287588294651,0.18350136361045244,0.8940604188939305,0.31886982845610495,0.12108980827447023,2000,0.8575,0.3209335207939148,0.1506442021803766,0.1503531786074672,0.15049869039392189,0.9290192505592954,0.496468213925328,0.32996972754793136,2000,0.769,0.2881554067134857,0.2666005946481665,0.26639757820383453,0.2664990864260005,0.8093835600683655,0.013118062563067608,0.0030272452068617556,2000,0.9745,0.3303248882293701,0.026759167492566897,0.027245206861755803,0.027002187177161352,0.9963897075663128,0.9566094853683148,0.9334006054490414,2000
5,18.542534552850658,0.0002451897906167216,0.86175,867.7581443786621,0.82,0.251196950674057,0.18136769078295342,0.18163471241170534,0.18150120159732938,0.8988788091835438,0.33905146316851664,0.15438950554994954,2000,0.8635,0.28490763902664185,0.13676907829534193,0.13723511604439959,0.13700209716987077,0.937230915704172,0.48940464177598386,0.4106962663975782,2000,0.785,0.26947876811027527,0.2348860257680872,0.23511604439959638,0.2350010350838418,0.835534678308943,0.02119071644803229,0.0020181634712411706,2000,0.9785,0.3596365451812744,0.022794846382556987,0.02320887991927346,0.023001863150915222,0.9968487447483246,0.963673057517659,0.893037336024218,2000
6,17.613297102248428,0.00024149369204565864,0.865625,844.7745728492737,0.831,0.24928928911685944,0.17046580773042616,0.1705348133198789,0.17050031052515252,0.9089026211123102,0.3834510595358224,0.248234106962664,2000,0.8705,0.2894776165485382,0.13082259663032705,0.1311806256306761,0.13100161113050157,0.9446815192030555,0.579212916246216,0.39152371342078707,2000,0.781,0.2697248160839081,0.25074331020812685,0.25025227043390513,0.250497790321016,0.8330474768456245,0.010090817356205853,0.0020181634712411706,2000,0.98,0.3598376214504242,0.023785926660059464,0.024217961654894045,0.024001944157476755,0.9969507530109938,0.9667003027245207,0.9233097880928355,2000
7,16.892666029075507,0.0002367992095277722,0.8760000000000001,877.7701547145844,0.8435,0.2550688087940216,0.16154608523290387,0.16145307769929365,0.16149958146609877,0.9150781213278276,0.40060544904137235,0.20988900100908173,2000,0.878,0.3159695267677307,0.1288404360753221,0.12916246215943492,0.1290014491173785,0.9467206843754343,0.5832492431886983,0.3955600403632694,2000,0.802,0.2864280343055725,0.22993062438057482,0.23007063572149344,0.23000063005103413,0.855786318691814,0.027245206861755803,0.0030272452068617556,2000,0.9805,0.33860141038894653,0.019821605550049554,0.020181634712411706,0.020001620131230628,0.9977028139279281,0.9626639757820383,0.9142280524722503,2000
8,16.30382402499575,0.00023114885702370277,0.878625,854.0858035087585,0.8435,0.23831775784492493,0.16154608523290387,0.16145307769929365,0.16149958146609877,0.9247339034461791,0.5176589303733602,0.22906155398587286,2000,0.885,0.29051241278648376,0.11694747274529237,0.1170534813319879,0.11700047703864014,0.9517900949976948,0.6175580221997982,0.4661957618567104,2000,0.8025,0.28353676199913025,0.22794846382556988,0.22805247225025227,0.22800046803791107,0.8551992711409623,0.013118062563067608,0.0030272452068617556,2000,0.9835,0.38146042823791504,0.019821605550049554,0.020181634712411706,0.020001620131230628,0.9974917968355437,0.9747729566094854,0.9525731584258325,2000
9,15.806943249045508,0.00022459380500070602,0.877625,880.8853442668915,0.8415,0.2664245367050171,0.16253716551040634,0.16246215943491424,0.1624996624726603,0.9209966007246586,0.3874873864783047,0.2704339051463169,2000,0.884,0.3229256570339203,0.12487611496531219,0.12512613521695257,0.12500112509113237,0.9496689231827777,0.6004036326942482,0.38143289606458125,2000,0.8,0.2452002465724945,0.22794846382556988,0.22805247225025227,0.22800046803791107,0.8566823912736932,0.01917255297679112,0.0030272452068617556,2000,0.985,0.3639289140701294,0.018830525272547076,0.01917255297679112,0.0190015391246691,0.998017839444995,0.9778002018163471,0.9323915237134208,2000
10,15.375364785890875,0.00021719341702497707,0.8807499999999999,876.7161846160889,0.845,0.2548423409461975,0.16253716551040634,0.16246215943491424,0.1624996624726603,0.9210616059900851,0.47023208879919276,0.20383451059535823,2000,0.8845,0.3117171823978424,0.11793855302279485,0.11806256306760847,0.11800055804520165,0.9527461724399676,0.6296670030272452,0.4167507568113017,2000,0.8115,0.23255398869514465,0.21407333994053518,0.21392532795156408,0.21399933394604964,0.8673752573958491,0.029263370332996974,0.0020181634712411706,2000,0.982,0.3511044383049011,0.02081268582755203,0.02119071644803229,0.02100170113779216,0.9982058546742286,0.9727547931382442,0.9545913218970736,2000
11,14.996358450782848,0.00020901471215600261,0.88325,844.9690952301025,0.849,0.24035435914993286,0.15262636273538158,0.15237134207870837,0.15249885240704497,0.9262200238219296,0.49041372351160445,0.2805247225025227,2000,0.8835,0.28347471356391907,0.11793855302279485,0.11806256306760847,0.11800055804520165,0.9528971846719584,0.6226034308779012,0.36629667003027244,2000,0.8155,0.24828113615512848,0.20614469772051536,0.2058526740665994,0.20599868589355738,0.8708825414858603,0.018163471241170535,0.0030272452068617556,2000,0.985,0.35080423951148987,0.01684836471754212,0.017154389505549948,0.017001377111546034,0.9980768442243821,0.9788092835519677,0.9273461150353178,2000
12,14.662289195978127,0.00020013175801157979,0.88725,843.4986429214478,0.8485,0.21400883793830872,0.15460852329038652,0.15438950554994954,0.15449901442016803,0.9273021114710291,0.43592330978809285,0.2119071644803229,2000,0.8885,0.2651963531970978,0.11298315163528246,0.11301715438950555,0.113000153012394,0.9558484237223215,0.6195761856710393,0.4530776992936428,2000,0.824,0.2634117007255554,0.21010901883052527,0.20988900100908173,0.2099990099198035,0.8769790353018594,0.15640766902119072,0.004036326942482341,2000,0.988,0.3344912528991699,0.013875123885034688,0.014127144298688193,0.01400113409186144,0.9983518665011866,0.9828456104944501,0.9525731584258325,2000
13,14.364135917527767,0.00019062499999999998,0.89175,851.9086747169495,0.8615,0.23633474111557007,0.14172447968285432,0.14127144298688193,0.14149796133486814,0.9305993785496626,0.4853683148335015,0.1584258324924319,2000,0.8905,0.31716465950012207,0.11199207135777998,0.11200807265388496,0.11200007200583248,0.9549023470901143,0.6609485368314834,0.3773965691220989,2000,0.828,0.23334258794784546,0.1952428146679881,0.19475277497477295,0.19499779482138052,0.8836945792609202,0.3329969727547931,0.0030272452068617556,2000,0.987,0.3283531069755554,0.013875123885034688,0.014127144298688193,0.01400113409186144,0.9982748602636813,0.9767911200807265,0.9495459132189707,2000
14,14.086563064074754,0.00018058053279397404,0.8933749999999999,869.3380737304688,0.8605,0.24394626915454865,0.14370664023785926,0.1432896064581231,0.14349812334799117,0.9320704977103145,0.5297679112008072,0.272452068617558,2000,0.8995,0.30207234621047974,0.10604558969276512,0.10595358224016145,0.10599958596646328,0.9592546996306701,0.7063572149344097,0.5075681130171544,2000,0.827,0.26406508684158325,0.19722497522299307,0.19677093844601412,0.1969979568345036,0.8826694962291946,0.11907164480322906,0.004036326942482341,2000,0.9865,0.32164931297302246,0.014866204162537165,0.015136226034308779,0.015001215098422973,0.9983568669062193,0.9828456104944501,0.9505549949545913,2000
15,13.835284340064778,0.00017008932064394385,0.8932500000000001,876.3432464599609,0.8585,0.22581014037132263,0.14370664023785926,0.1432896064581231,0.14349812334799117,0.9324755305179719,0.520686175580222,0.18869828456104945,2000,0.8955,0.24947519600391388,0.10604558969276512,0.10595358224016145,0.10599958596646328,0.9585096392807816,0.627648839556004,0.4783047426841574,2000,0.8315,0.2395646572113037,0.19821605550049554,0.1977800201816347,0.19799803784106512,0.8854507215084422,0.30373360242179614,0.004036326942482341,2000,0.9875,0.3571443557739258,0.015857284440039643,0.016145307769929364,0.016001296104984505,0.9982148554032877,0.9818365287588294,0.9394550958627649,2000
16,13.603348978261662,0.00015924637359174452,0.8939999999999999,851.9736888408661,0.8615,0.25213125348091125,0.14271555996035679,0.14228052472250252,0.14249804234142965,0.9382619992219369,0.5116044399596368,0.29162462159434915,2000,0.8965,0.2834233343601227,0.10703666997026759,0.10696266397578204,0.10699966697302482,0.9593977112146084,0.615539858728557,0.4661957618567104,2000,0.829,0.22976621985435486,0.1962338949454906,0.19576185671039353,0.19599787582794206,0.8872328658621349,0.3229061553985873,0.0030272452068617556,2000,0.989,0.32606399059295654,0.010901883052527254,0.011099899091826439,0.011000891072176847,0.9984718762219739,0.9868819374369324,0.9576185671039354,2000
17,13.389891496782505,0.00014814988704495264,0.896875,852.326144695282,0.864,0.2297712117433548,0.13676907829534193,0.13723511604439959,0.13700209716987077,0.9380569826155918,0.5408678102926338,0.23511604439959638,2000,0.898,0.28129497170448303,0.10307234886025768,0.1029263370332997,0.10299934294677869,0.9589436744376294,0.669021190716448,0.4429868819374369,2000,0.8375,0.23402003943920135,0.19028741328047571,0.19071644803229063,0.19050193065638316,0.8903881214378364,0.37336024217961655,0.004036326942482341,2000,0.988,0.3462345600128174,0.013875123885034688,0.014127144298688193,0.01400113409186144,0.9984438739537903,0.9828456104944501,0.9434914228052472,2000
